Название поселка;Последнее обновление;Номер участка;Стоимость участка;Площадь участка;Кадастровый номер;Ссылки на фото
Городской квартал Левобережный;06.10.2024 04:40;18;11500000;10;;https://dachi-mo.ru/uploads/s/z/s/l/zslcdksdkz3h/img/full_K5nFwfKD.jpg
Городской квартал Левобережный;06.10.2024 04:40;20;11000000;9.71;;https://dachi-mo.ru/uploads/s/z/s/l/zslcdksdkz3h/img/full_aSDhcflo.jpg
Микрорайон Покровский;06.10.2024 04:40;87;2475000;7.98;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_McoRCjJ6.png?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;92;2990000;9.69;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_5db9gqty.jpg?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;98;2750000;8.81;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_UFr6w0Fl.jpg?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;99;2815000;9.08;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_3SPUHwlO.jpg?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;100;2880000;9.3;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_FnoiJsPz.jpg?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;101;2925000;9.46;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_McoRCjJ6.png?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;102;2950000;9.57;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_5db9gqty.jpg?width=210&quality=76
Микрорайон Покровский;06.10.2024 04:40;105;2780000;8.94;;https://dachi-mo.ru/__scale/uploads/s/z/s/l/zslcdksdkz3h/img/full_UFr6w0Fl.jpg?width=210&quality=76
