Название поселка;Последнее обновление;Номер участка;Стоимость участка;Площадь участка;Кадастровый номер;Ссылки на фото
Ситники;27.09.2024 07:00;72;2543509;10.97;;https://zemaktiv.ru/upload/medialibrary/447/Sitniki_2023_1.JPG;
Ситники;27.09.2024 07:00;73;2555102;11.02;;https://zemaktiv.ru/upload/medialibrary/6af/Sitniki_2023_2.jpg;
Ситники;27.09.2024 07:00;77;2555102;11.02;;https://zemaktiv.ru/upload/medialibrary/c23/Sitniki_2023_3.jpg;
Ситники;27.09.2024 07:00;315;7057050;13.65;;https://zemaktiv.ru/upload/medialibrary/492/Sitniki_2023_4.jpg;
Ситники;27.09.2024 07:00;316;7186300;13.9;;https://zemaktiv.ru/upload/medialibrary/c89/Sitniki_2023_5.jpg;
Ситники;27.09.2024 07:00;317;6969160;13.48;;https://zemaktiv.ru/upload/medialibrary/cbd/Sitniki_2023_6.jpg;
Ситники;27.09.2024 07:00;321;6266040;12.2;;https://zemaktiv.ru/upload/medialibrary/c8b/Sitniki_2023_7.jpg;
Ситники;27.09.2024 07:00;322;6669300;12.9;;https://zemaktiv.ru/upload/medialibrary/105/Sitniki_2023_8.jpg;
Ситники;27.09.2024 07:00;323;5559889;14.51;;https://zemaktiv.ru/upload/medialibrary/f4b/Sitniki_2023_9.jpg;
Ситники;27.09.2024 07:00;324;6935492;18.1;;https://zemaktiv.ru/upload/medialibrary/e8d/Sitniki_2023_10.jpg;
Ситники;27.09.2024 07:00;110;2058921;8.89;;https://zemaktiv.ru/upload/medialibrary/28d/Sitniki_2023_11.jpg;
Ситники;27.09.2024 07:00;111;2096019;9.04;;https://zemaktiv.ru/upload/medialibrary/afd/Sitniki_2023_12.jpg;
Ситники;27.09.2024 07:00;3;1684156;8.43;;https://zemaktiv.ru/upload/medialibrary/ee2/Sitniki_2023_13.jpg;
Ситники;27.09.2024 07:00;4;1730106;8.66;;https://zemaktiv.ru/upload/medialibrary/e02/Sitniki_2023_14.jpg;
Ситники;27.09.2024 07:00;5;1746088;8.74;;https://zemaktiv.ru/upload/medialibrary/f68/Sitniki_2023_15.jpg;
Ситники;27.09.2024 07:00;8;1965848;9.84;;https://zemaktiv.ru/upload/medialibrary/675/Sitniki_2023_16.jpg;
Ситники;27.09.2024 07:00;12;2319461;11.61;;https://zemaktiv.ru/upload/medialibrary/d0f/Sitniki_2023_17.jpg;
