Название поселка;Последнее обновление;Стоимость сотки ОТ;Стоимость сотки ДО;Стоимость участков ОТ;Стоимость участков ДО;Площадь участков ОТ;Площадь участков ДО;Участков в поселке;Участков в продаже
River Park;27.09.2024 08:00;269900;409900;2375120;4561830;8.4;12;583;291
River Park;27.09.2024 08:00;269900;409900;2375120;4561830;8.4;12;583;291
River Wood;27.09.2024 08:00;419900;999900;3779100;11198600;8.28;14;243;57
Panorama River;27.09.2024 08:00;419900;999900;3779100;11198600;8.28;14;243;57
Shelkovo Village;27.09.2024 08:00;229900;589900;1901273;7693650;8;13.5;507;164
Shelkovo Forest;27.09.2024 08:00;219900;779900;1919200;14038200;8;18;361;150
Shelkovo Park;27.09.2024 08:00;289900;559900;2889150;7018650;8;13.5;574;132
Shelkovo River;27.09.2024 08:00;309900;549900;2719200;8158400;8;16;526;246
Green Forest Club;27.09.2024 08:00;429900;1059900;4230216;15898500;9.84;15;646;43
Green Forest Park;27.09.2024 08:00;265900;1684782;2127200;15500003;8;15;209;118
Green Forest Premium;27.09.2024 08:00;279900;1090908;2440728;11999989;8;15;341;204
Green River;27.09.2024 08:00;289900;599900;2754050;10257720;9;22.8;165;91
White Park;27.09.2024 08:00;209900;359900;2213936;4288700;8.93;14.02;232;129
Greenwood;27.09.2024 08:00;459899;1655600;4249472;14900400;8;16.28;583;32
Beketovo Park;27.09.2024 08:00;239900;299900;2003165;3298900;8.35;12;346;35
Green Park;27.09.2024 08:00;509900;649900;4079200;7798800;8;12;80;7
Промышленный парк "А-108";27.09.2024 08:00;149900;309900;4497000;13993000;25;70;34;11
